neighborhood,2013,2014,2015,2016,2017,2018
Adams-Normandie,5077,5079,5085,5086,5087,5086
Arleta,5965,5965,5969,5889,5888,5888
Arlington Heights,6806,6817,6812,6843,6848,6852
Atwater Village,4899,4901,4897,4897,4893,4904
Baldwin Hills/Crenshaw,11265,11199,11279,11281,11280,11301
Bel-Air,1290,1287,1281,1281,1277,1265
Beverly Crest,2301,2290,2285,2286,2278,2262
Beverly Grove,11140,11102,11022,10975,10933,11018
Beverlywood,1841,1838,1836,1823,1811,1811
Boyle Heights,20411,20534,20802,20811,20998,20927
Brentwood,10726,10707,10713,10633,10675,10663
Broadway-Manchester,6906,6928,6983,6991,7024,7063
Canoga Park,9920,9924,9947,9945,9972,9995
Carthay,1935,1935,1932,1935,1929,1926
Central-Alameda,8626,8344,8362,8373,8385,8426
Century City,3660,3652,3654,3644,3675,3697
Chatsworth,8777,8913,8970,9058,9169,9736
Chatsworth Reservoir,7,7,7,7,7,7
Chesterfield Square,2203,2202,2203,2204,2205,2216
Cheviot Hills,2047,2035,2027,2002,2019,2001
Chinatown,2390,2732,2733,2733,2741,2638
Cypress Park,2410,2409,2410,2462,2475,2475
Del Rey,10252,10253,10280,10289,10392,10409
Downtown,12281,12472,12836,13375,13882,14649
Eagle Rock,10071,10070,10061,10133,10154,10144
East Hollywood,22086,22219,22165,22231,22300,22246
Echo Park,13000,13078,13004,13010,13010,13014
El Sereno,10760,10781,10779,10785,10803,10808
Elysian Park,752,752,750,749,745,746
Elysian Valley,1973,1973,1973,1975,2035,2042
Encino,8832,8826,8876,8919,8953,8909
Exposition Park,9959,9984,9979,10024,10038,10000
Fairfax,5472,5460,5446,5414,5367,5373
Florence,11566,11605,11621,11664,11706,11788
Glassell Park,6650,6665,6819,6874,6881,6884
Gramercy Park,3700,3703,3703,3767,3774,3779
Granada Hills,10328,10348,10375,10375,10371,10357
Green Meadows,8068,8087,8098,8137,8176,8197
Hancock Park,3805,3795,3772,3762,3750,3736
Hansen Dam,13,13,13,13,12,12
Harbor City,6888,6890,6892,6893,6905,6927
Harbor Gateway,11330,11340,11376,11403,11441,11516
Harvard Heights,5487,5491,5494,5496,5467,5483
Harvard Park,3114,3115,3134,3134,3137,3142
Highland Park,15549,15566,15572,15617,15625,15789
Historic South-Central,10582,11548,11558,11659,11673,11795
Hollywood,29432,29727,29742,29684,29730,30013
Hollywood Hills,9904,9882,9867,9873,9871,9853
Hollywood Hills West,4757,4747,4728,4722,4714,4681
Hyde Park,12673,12693,12705,12709,12725,12725
Jefferson Park,7422,7420,7476,7475,7479,7491
Koreatown,35097,35239,35231,35208,35259,35511
Lake Balboa,6670,6666,6699,6715,6737,6777
Lake View Terrace,2468,2466,2467,2502,2504,2504
Larchmont,3316,3315,3398,3392,3401,3388
Leimert Park,5301,5302,5300,5302,5302,5302
Lincoln Heights,7459,7468,7470,7472,7481,7483
Los Feliz,13644,13641,13610,13648,13637,13626
Manchester Square,4243,4248,4252,4252,4254,4258
Mar Vista,13475,13501,13499,13475,13464,13445
Mid-City,17514,17510,17513,17535,17638,17648
Mid-Wilshire,20911,20909,20894,20895,20888,20894
Mission Hills,3847,3846,3848,3848,3846,3860
Montecito Heights,5716,5719,5717,5720,5716,5721
Mount Washington,4605,4613,4616,4615,4620,4617
None,120,114,96,125,154,93
North Hills,10399,10403,10403,10422,10413,10702
North Hollywood,22433,22526,22777,22881,22954,23013
Northridge,9619,9616,9612,9675,9672,9696
Pacific Palisades,7560,7530,7495,7448,7454,7430
Pacoima,13056,13182,13072,13168,13181,13227
Palms,17090,17141,17161,17264,17172,17301
Panorama City,12224,12368,12406,12491,12591,12660
Pico-Robertson,8358,8401,8421,8420,8459,8462
Pico-Union,11551,11551,11540,11437,11621,11621
Playa Vista,2738,2738,2738,2990,2987,3159
Playa del Rey,4556,4558,4562,4559,4565,4567
Porter Ranch,4972,4973,4974,4973,4961,4958
Rancho Park,1502,1501,1501,1500,1498,1518
Reseda,14578,14597,14681,14681,14731,14751
San Pedro,28105,28105,28172,28274,28281,28293
Sawtelle,16961,17003,17187,17246,17382,17549
Sepulveda Basin,72,72,72,72,72,72
Shadow Hills,3862,3857,3854,3845,3840,3894
Sherman Oaks,19031,19004,19103,19018,19020,18942
Silver Lake,13700,13708,13716,13811,13843,13885
South Park,7348,7375,7595,7610,7681,7711
Studio City,12041,12050,12034,12040,12099,12175
Sun Valley,15751,15773,15796,15806,15911,15950
Sunland,4767,4760,4760,4760,4773,4771
Sylmar,16380,16488,16541,16630,16703,16744
Tarzana,6839,6830,6756,6754,6759,6749
Toluca Lake,3457,3452,3456,3453,3458,3468
Tujunga,8743,8745,8804,8809,8805,8846
University Park,5734,5732,5713,5723,5631,5673
Valley Glen,13522,13511,13559,13669,13699,13768
Valley Village,7026,7017,7032,7076,7096,7134
Van Nuys,21306,21346,21462,21635,22073,22164
Venice,18950,18977,18965,18857,18785,18833
Vermont Knolls,6169,6219,6228,6234,6217,6280
Vermont Square,13393,13434,13449,13383,13472,13474
Vermont Vista,6952,6950,6975,6993,6996,7015
Vermont-Slauson,7528,7588,7596,7611,7628,7642
Watts,6809,6821,6837,6853,6879,6896
West Adams,7055,7059,7073,7080,7091,7091
West Hills,8137,8128,8129,8117,8097,8213
West Los Angeles,6202,6223,6218,6226,6240,6263
Westchester,13454,13456,13434,13381,13337,13182
Westlake,32063,32133,32367,32468,32519,32643
Westwood,16145,16138,16127,16112,16176,16291
Wilmington,12401,12382,12433,12439,12499,12515
Windsor Square,1497,1499,1493,1492,1489,1479
Winnetka,9660,9666,9672,9667,9813,9819
Woodland Hills,12893,12890,12894,12890,12860,12791
