"","RegionName","id","major_area","minor_area","X2011.03","X2012.03","X2013.03","X2014.03","X2015.03","X2016.03","X2017.03","X2018.03","X2019.03","increase_1119","pct_increase_1119","increase_1113","increase_1315","increase_1517","increase_1719","pct_increase_1113","pct_increase_1315","pct_increase_1517","pct_increase_1719"
"1","Beverly Crest","Beverly Crest","Westside","Hills",5056.74,5464.888,4941.2,5049.85,5999.064,6490.678,6206.152,6265.877,6273,1216.26,0.240522550101449,-115.54,1057.864,207.088,66.848,-0.0228487128070654,0.214090504330932,0.0345200517947466,0.0107712476265486
"2","Pacific Palisades","Pacific Palisades","Westside","Hills",3973.32,3801.512,3468.947,3702.855,4182.186,4466.726,4517.07,4613.899,4615,641.68,0.161497186232169,-504.373,713.239,334.883999999999,97.9300000000003,-0.12693993939577,0.205606773467568,0.0800739134988255,0.0216799828207223
"3","Venice","Venice","Westside","Beach",3797.82,3592.16,3282.529,3702.855,4264.722,4423.143,4728.596,4207.541,4130,332.18,0.0874659673180931,-515.291,982.193000000001,463.874,-598.596,-0.135680732630825,0.299218377050134,0.108770044096661,-0.12659064128126
"4","Century City","Century City","Westside","West LA",3513.51,3604.744,3383.599,3455.335,3729.324,4020.266,4048.17,4070.727,4024,510.49,0.145293452985761,-129.911,345.725,318.846,-24.1700000000001,-0.0369747062054753,0.102176705927623,0.0854969962384604,-0.00597059906081021
"5","Del Rey","Del Rey","Westside","Beach",3197.61,3040.752,2973.704,3066.375,3483.888,3658.846,3711.604,3820.582,3904,706.39,0.220911868551825,-223.905999999999,510.184,227.716,192.396,-0.0700229233708925,0.171565159141596,0.0653626063754058,0.0518363489208438
"6","Playa Vista","Playa Vista","Westside","Beach",3356.73,3181.464,3115.202,3091.79,3532.758,3832.115,3889.786,3816.498,3885,528.27,0.157376375222315,-241.528,417.556,357.028,-4.78600000000006,-0.071953359370578,0.134038177941591,0.101062116340831,-0.00123040187814961
"7","Brentwood","Brentwood","Westside","West LA",3292.38,3306.16,3148.892,3124.94,3691.314,3842.745,3824.14,3841.002,3820,527.62,0.160254891598175,-143.488,542.422,132.826,-4.14000000000033,-0.0435818465669211,0.172258051403478,0.0359833923638032,-0.00108259634846013
"8","Westwood","Westwood","Westside","West LA",3189.42,3149.432,3056.806,3105.05,3487.146,3696.051,3727.234,3770.553,3780,590.58,0.185168463231559,-132.614,430.34,240.088,52.7660000000001,-0.0415793467150766,0.140780932777546,0.0688494258628689,0.0141568788007407
"9","West Los Angeles","West Los Angeles","Westside","West LA",3123.9,3101.384,3010.763,3094,3431.76,3605.696,3633.454,3690.915,3739,615.1,0.19690130926086,-113.137,420.997,201.694,105.546,-0.0362165882390601,0.139830667508535,0.058772758001725,0.0290483930717163
"10","Cheviot Hills","Cheviot Hills","Westside","West LA",3300.57,3268.408,3111.833,3327.155,3618.552,3736.445,3761.62,3710.314,3674,373.43,0.113141063513272,-188.737,506.719,143.068,-87.6200000000003,-0.0571831532129298,0.162836180476266,0.0395373619060885,-0.0232931556084879
"11","Bel Air","Bel-Air","Westside","Hills",2972.97,2908.048,2797.393,2794.545,3407.868,3470.695,3379.206,3362.153,3404,431.03,0.144982963164781,-175.577,610.475,-28.6620000000003,24.7939999999999,-0.0590577772395953,0.218229973407383,-0.0084105370278427,0.00733722655558728
"12","Porter Ranch","Porter Ranch","Valley","Far Valley",3230.37,3079.648,2965.843,3067.48,3056.004,3270.851,3337.526,3360.111,3368,137.63,0.0426050266687717,-264.527,90.1610000000005,281.522,30.4739999999997,-0.0818875237201931,0.030399788525556,0.092120952721266,0.00913071538618716
"13","Sawtelle","Sawtelle","Westside","West LA",2951.91,2863.432,2803.008,2780.18,3188.496,3336.757,3342.736,3304.977,3333,381.09,0.129099464414566,-148.902,385.488,154.24,-9.73600000000033,-0.0504425947945568,0.137526542913898,0.0483739041855471,-0.002912584182538
"14","Pico-Robertson","Pico-Robertson","Westside","Central LA",2948.4,2827.968,2797.393,2821.065,3240.624,3291.048,3463.608,3320.292,3299,350.6,0.118911952245286,-151.007,443.231,222.984,-164.608,-0.0512165920499253,0.15844430868312,0.0688089701242723,-0.047525008603745
"15","Mar Vista","Mar Vista","Westside","West LA",2664.09,2595.736,2559.317,2583.49,2969.124,3078.448,3128.084,3112.008,3104,439.91,0.165125802806962,-104.773,409.807,158.96,-24.0840000000003,-0.0393278755597595,0.160123579845717,0.0535376764325101,-0.00769928173284358
"16","Studio City","Studio City","Valley","Near Valley",2637.18,2565.992,2634.558,2667.47,2836.632,2958.329,2979.078,3024.202,3061,423.82,0.160709545802714,-2.62199999999984,202.074,142.446,81.922,-0.000994243851386649,0.0767012910704566,0.0502165948914064,0.0274991121414075
"17","Playa Del Rey","Playa del Rey","Westside","Beach",2570.49,2505.36,2557.071,2523.82,2695.452,3025.298,2962.406,2933.333,3019,448.51,0.174484242303997,-13.4189999999999,138.381,266.954,56.5940000000001,-0.00522040544798846,0.054116995578144,0.0990386770011114,0.0191040660868227
"18","Cahuenga Pass","Hollywood Hills West","Westside","Hills",2781.09,2596.88,2641.296,2663.05,3009.306,2947.699,2983.246,2975.194,2971,189.91,0.0682861755642573,-139.794,368.01,-26.0599999999999,-12.2460000000001,-0.0502659029373375,0.139329329238374,-0.00865980395479886,-0.00410492463578267
"19","Toluca Lake","Toluca Lake","Valley","Near Valley",2577.51,2533.96,2571.67,2608.905,2758.44,2823.328,2907.18,2935.375,2953,375.49,0.14567935720909,-5.83999999999969,186.77,148.74,45.8199999999997,-0.00226575260619733,0.0726259590071821,0.053921781876713,0.0157609779924187
"20","Los Feliz","Los Feliz","Eastside","Hollywood-Sunset",2471.04,2384.096,2349.316,2404.48,2741.064,2856.281,3132.252,2920.06,2924,452.96,0.183307433307433,-121.724,391.748000000001,391.188,-208.252,-0.0492602305102306,0.166749811434477,0.142713924227964,-0.066486349118781
"21","West Hills","West Hills","Valley","Far Valley",2538.9,2474.472,2471.723,2521.61,2602.056,2777.619,2805.064,2832.254,2923,384.1,0.151285989995668,-67.1769999999997,130.333,203.008,117.936,-0.0264590964590963,0.0527296141193815,0.0780183055245545,0.0420439604943059
"22","Hollywood Hills","Hollywood Hills","Westside","Hills",2558.79,2480.192,2499.798,2514.98,2794.278,2815.887,2879.046,2882.283,2907,348.21,0.136083852133235,-58.9920000000002,294.48,84.768,27.9539999999997,-0.0230546469229598,0.117801518362684,0.0303362800694849,0.00970946626069876
"23","Silver Lake","Silver Lake","Eastside","Hollywood-Sunset",2377.44,2336.048,2279.69,2358.07,2629.206,2779.745,3023.884,2884.325,2885,507.56,0.213490140655495,-97.75,349.516,394.678,-138.884,-0.0411156538125042,0.153317337006347,0.150112999894265,-0.0459290105043712
"24","Palms","Palms","Westside","West LA",2502.63,2364.648,2331.348,2408.9,2684.592,2873.289,2913.432,2867.989,2868,365.37,0.145994413876602,-171.282,353.244,228.84,-45.4320000000002,-0.0684408002781073,0.151519206913768,0.0852420032541258,-0.0155939798835189
"25","Hollywood","Hollywood","Eastside","Hollywood-Sunset",2306.07,2252.536,2177.497,2233.205,2604.228,2689.39,2839.45,2746.49,2796,489.93,0.212452354004866,-128.573,426.731,235.222,-43.4500000000003,-0.0557541618424418,0.195973174704718,0.0903231207098611,-0.0153022592403459
"26","Sherman Oaks","Sherman Oaks","Valley","Near Valley",2434.77,2325.752,2377.391,2432.105,2559.702,2652.185,2653.974,2732.196,2782,347.23,0.142613059960489,-57.3789999999999,182.311,94.2719999999999,128.026,-0.0235664970407882,0.0766853243744929,0.0368292871592084,0.0482393572808173
"27","Atwater Village","Atwater Village","Eastside","Northeast LA",2288.52,2174.744,2179.743,2291.77,2553.186,2725.532,2837.366,2686.251,2780,491.48,0.21475888347054,-108.777,373.443,284.18,-57.366,-0.0475315924702428,0.171324325849424,0.111304072637089,-0.0202180473016171
"28","Westchester","Westchester","Westside","Beach",2571.66,2296.008,2231.401,2331.55,2582.508,2735.099,2847.786,2803.666,2764,192.34,0.0747921575947054,-340.259,351.107,265.278,-83.7860000000001,-0.132311036451164,0.157348230999269,0.10272107579144,-0.0294214523141837
"29","Beverlywood","Beverlywood","Westside","Central LA",2324.79,2117.544,2190.973,2280.72,2539.068,2641.555,2739.418,2705.65,2755,430.21,0.185053273629016,-133.817,348.095,200.35,15.5819999999999,-0.0575608979735804,0.158876900810736,0.078906905998579,0.00568806950965493
"30","Echo Park","Echo Park","Eastside","Hollywood-Sunset",2180.88,2145,2086.534,2120.495,2441.328,2620.295,2831.114,2721.986,2752,571.12,0.261875939987528,-94.3459999999995,354.794,389.786,-79.114,-0.043260518689703,0.170039884324914,0.159661462941481,-0.0279444769797331
"31","Valley Village","Valley Village","Valley","Near Valley",2315.43,2221.648,2265.091,2289.56,2490.198,2610.728,2633.134,2667.873,2697,381.57,0.164794444228502,-50.3389999999999,225.107,142.936,63.866,-0.0217406701994878,0.0993809961718979,0.0573994517705017,0.0242547473846754
"32","Harvard Heights","Harvard Heights","Eastside","West of Downtown",2082.6,1999.712,1988.833,1972.425,2349.018,2533.129,2641.47,2579.046,2650,567.4,0.272447901661385,-93.7669999999998,360.185,292.452,8.52999999999975,-0.0450240084509747,0.181103692466889,0.124499684549033,0.00322926249398999
"33","Eagle Rock","Eagle Rock","Eastside","Northeast LA",2189.07,2070.64,2047.229,2121.6,2401.146,2572.46,2689.402,2622.949,2642,452.93,0.206905215456792,-141.841,353.917,288.256,-47.402,-0.064795095634219,0.172876116936601,0.120049343105334,-0.0176254795675767
"34","Lake Balboa","Lake Balboa","Valley","Far Valley",2281.5,2221.648,2199.957,2240.94,2380.512,2518.247,2546.648,2583.13,2640,358.5,0.157133464825773,-81.5430000000001,180.555,166.136,93.3519999999999,-0.0357409598948061,0.0820720586811471,0.0697900283636461,0.0366568131913008
"35","Glassell Park","Glassell Park","Eastside","Northeast LA",2118.87,2054.624,2019.154,1996.735,2353.362,2531.003,2664.394,2608.655,2635,516.13,0.243587383841387,-99.7159999999999,334.208,311.032,-29.3940000000002,-0.0470609334220598,0.165518826201469,0.132164962296493,-0.0110321521516713
"36","North Hollywood","North Hollywood","Valley","Near Valley",2245.23,2193.048,2181.989,2290.665,2370.738,2560.767,2597.706,2609.676,2622,376.77,0.167809088601168,-63.241,188.749,226.968,24.2939999999999,-0.028166824779644,0.0865031858547409,0.0957372767467345,0.00935209758148146
"37","Koreatown","Koreatown","Eastside","West of Downtown",2130.57,2093.52,2014.662,2101.71,2470.65,2568.208,2626.882,2610.697,2612,481.43,0.22596300520518,-115.908,455.988,156.232,-14.8820000000001,-0.0544023430349623,0.226334740020907,0.0632351810252363,-0.00566527160336858
"38","Downtown","Downtown","Eastside","Downtown",2164.5,2145,2140.438,2216.63,2520.606,2596.909,2601.874,2560.668,2602,437.5,0.202125202125202,-24.0619999999999,380.168,81.268,0.125999999999749,-0.0111166551166551,0.177612245717933,0.0322414530474021,4.84266340336807e-05
"39","Sun Valley","Sun Valley","Valley","Far Valley",2226.51,2161.016,2143.807,2170.22,2325.126,2495.924,2535.186,2570.878,2601,374.49,0.168195965883827,-82.703,181.319,210.06,65.8139999999999,-0.0371446793412111,0.0845780427062699,0.0903434910624198,0.0259602254035798
"40","Mount Washington","Mount Washington","Eastside","Northeast LA",2098.98,2022.592,1980.972,1985.685,2333.814,2501.239,2611.252,2594.361,2584,485.02,0.231074140773137,-118.008,352.842,277.438,-27.252,-0.0562215933453392,0.178115591739813,0.118877511232686,-0.010436373050169
"41","Chatsworth","Chatsworth","Valley","Far Valley",2362.23,2276.56,2271.829,2311.66,2389.2,2464.034,2511.22,2539.227,2583,220.77,0.09345829999619,-90.4009999999998,117.371,122.02,71.7799999999997,-0.0382693471846517,0.0516636595447985,0.051071488364306,0.0285837162813293
"42","Woodland Hills","Woodland Hills","Valley","Far Valley",2205.45,2116.4,2137.069,2175.745,2366.394,2460.845,2463.288,2543.311,2570,364.55,0.165295064499309,-68.3809999999999,229.325,96.8939999999998,106.712,-0.0310054637375592,0.107308187054325,0.0409458441831748,0.0433209596279444
"43","Elysian Valley","Elysian Valley","Eastside","Northeast LA",2058.03,1969.968,1969.742,1909.44,2308.836,2433.207,2562.278,2544.332,2567,508.97,0.247309320077939,-88.2879999999998,339.094,253.442,4.72199999999975,-0.0428992774643712,0.17215147973694,0.109770464424498,0.00184289136463715
"44","West Adams","West Adams","South","Crenshaw",1978.47,1909.336,1895.624,1896.18,2169.828,2389.624,2560.194,2525.954,2564,585.53,0.295950911562976,-82.8459999999998,274.204,390.366,3.80600000000004,-0.0418737711463908,0.144651048942195,0.179906425762779,0.00148660609313202
"45","Northridge","Northridge","Valley","Far Valley",2289.69,2213.64,2206.695,2254.2,2394.63,2434.27,2501.842,2548.416,2558,268.31,0.117181801903314,-82.9949999999999,187.935,107.212,56.1579999999999,-0.0362472649135909,0.0851658249101031,0.0447718436668713,0.0224466612999542
"46","Valley Glen","Valley Glen","Valley","Near Valley",2087.28,2037.464,2029.261,2032.095,2267.568,2427.892,2475.792,2563.731,2552,464.72,0.222643823540685,-58.0189999999998,238.307,208.224,76.2080000000001,-0.0277964623816641,0.117435361937178,0.0918270146694607,0.0307812611075567
"47","Westlake","Westlake","Eastside","West of Downtown",2039.31,2028.312,1985.464,2013.31,2346.846,2464.034,2552.9,2549.437,2547,507.69,0.24895185136149,-53.846,361.382,206.054,-5.90000000000009,-0.0264040288136674,0.182013876856997,0.0878003925268211,-0.00231109718359516
"48","Highland Park","Highland Park","Eastside","Northeast LA",2051.01,1967.68,1942.79,1941.485,2287.116,2452.341,2599.79,2541.269,2546,494.99,0.241339632668783,-108.22,344.326,312.674,-53.79,-0.0527642478583721,0.177232742602134,0.136711036956586,-0.0206901326645614
"49","Jefferson Park","Jefferson Park","South","Crenshaw",2075.58,1924.208,1934.929,1943.695,2172,2366.238,2553.942,2502.471,2544,468.42,0.225681496256468,-140.651,237.071,381.942,-9.94200000000001,-0.067764673007063,0.122521808293741,0.175848066298343,-0.00389280570976162
"50","Cypress Park","Cypress Park","","none",2061.54,1971.112,1934.929,1869.66,2284.944,2390.687,2541.438,2557.605,2530,468.46,0.227237890120978,-126.611,350.015,256.494,-11.4380000000001,-0.0614157377494494,0.180892942325015,0.112253954582694,-0.00450060162789732
"51","Granada Hills","Granada Hills","Valley","Far Valley",2249.91,2128.984,2147.176,2191.215,2344.674,2404.506,2451.826,2503.492,2524,274.09,0.121822650683805,-102.734,197.498,107.152,72.174,-0.045661382010836,0.0919803500039121,0.0457001698317122,0.029436836056066
"52","Sunland","Sunland","Valley","Antelope Valley",2166.84,2106.104,2132.577,2112.76,2303.406,2383.246,2459.12,2492.261,2519,352.16,0.162522382824759,-34.2629999999999,170.829,155.714,59.8800000000001,-0.0158124273135072,0.080104493296139,0.0676016299341062,0.0243501740460002
"53","Crenshaw","Baldwin Hills/Crenshaw","South","Crenshaw",1951.56,1918.488,1916.961,1954.745,2138.334,2314.151,2413.272,2485.114,2514,562.44,0.288200209063518,-34.5989999999999,221.373,274.938,100.728,-0.0177288938080305,0.115481222622683,0.128575797793983,0.0417391823217607
"54","Leimert Park","Leimert Park","South","Crenshaw",2008.89,1925.352,1922.576,1896.18,2175.258,2348.167,2568.53,2475.925,2510,501.11,0.249446211589485,-86.3139999999999,252.682,393.272,-58.5300000000002,-0.0429660160586194,0.131428874593254,0.180793266821683,-0.0227873530774413
